City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
577,Itarema,BR,79.61,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
578,Acarau,BR,79.68,broken clouds,-2.8856,-40.12,castelo pizzaria
581,Jizan,SA,76.62,few clouds,17.3333,42.6667,شهدان. ابوالحجر
586,Alugan,PH,80.87,overcast clouds,12.2188,125.4808,JM Lodge
592,Tucupita,VE,76.53,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
596,Kanigoro,ID,75.22,light rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
597,Oistins,BB,77.16,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
609,Sechura,PE,75.42,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
615,Mackay,AU,84.69,scattered clouds,-21.15,149.2,International Lodge Motel
616,Inhambane,MZ,75.61,clear sky,-23.865,35.3833,Oceano
618,Tamandare,BR,80.29,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
626,Miri,MY,78.48,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
628,Bacong,PH,80.64,overcast clouds,9.2464,123.2956,Sta Monica Beach Club
631,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
633,Bubaque,GW,77.94,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
636,Alyangula,AU,86.74,light rain,-13.8483,136.4192,Groote Eylandt Lodge
637,Charlestown,AU,82.02,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
638,Benguela,AO,75.04,broken clouds,-12.5763,13.4055,Hotel Praia Morena
643,Pacific Grove,US,79.2,few clouds,36.6177,-121.9166,Lovers Point Inn
647,Mandera,KE,78.64,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
648,Isangel,VU,85.5,scattered clouds,-19.55,169.2667,Tanna Lodge
651,Freetown,SL,77.25,clear sky,8.484,-13.2299,The Country Lodge Hotel
652,Cape Coast,GH,79.23,broken clouds,5.1053,-1.2466,Samrit Hotel
655,Maryborough,AU,77.61,scattered clouds,-25.5333,152.7,Blue Shades Motel
658,Perth,AU,85.01,clear sky,-31.9333,115.8333,Beatty Lodge
660,Yeppoon,AU,85.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
665,Torit,SS,80.46,overcast clouds,4.4133,32.5678,Diplomat Guest House
666,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
673,Cartagena,CO,80.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
674,Martapura,ID,80.69,clear sky,-3.4167,114.85,Montana Hotel Syariah
676,Auki,SB,77.34,light rain,-8.7676,160.7034,Auki Motel
678,Anloga,GH,81.09,overcast clouds,5.7947,0.8973,Pin Drop Hotel
683,Wewak,PG,82.51,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
685,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
688,Manokwari,ID,82.06,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
694,Ambunti,PG,75.65,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
699,Bang Saphan,TH,77.47,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
701,Mlonggo,ID,76.89,broken clouds,-6.5333,110.7,Asia Metal Art
704,Sinnamary,GF,76.37,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
707,Luwuk,ID,81.75,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
710,Kingaroy,AU,78.44,scattered clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
720,Brokopondo,SR,75.36,scattered clouds,4.75,-55.1667,Matu Island
722,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
