City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Torbay,CA,2022-02-11 22:37:44,47.6666,-52.7314,37.38,81,75,23.02
116,Ponta Delgada,PT,2022-02-11 22:37:44,37.7333,-25.6667,59.5,77,75,0.0
117,Liku,ID,2022-02-11 22:37:45,-0.7275,119.8922,74.68,95,100,2.1
118,Ancud,CL,2022-02-11 22:37:45,-41.8697,-73.8203,65.23,63,7,3.11
119,Saint-Pierre,RE,2022-02-11 22:37:45,-21.3393,55.4781,74.88,73,75,5.75
120,Neuquen,AR,2022-02-11 22:36:01,-38.9516,-68.0591,76.89,23,0,5.75
121,Pleasant Point,NZ,2022-02-11 22:37:45,-44.2667,171.1333,58.28,97,100,10.31
122,Port Blair,IN,2022-02-11 22:37:46,11.6667,92.75,75.24,88,40,1.14
123,Tiksi,RU,2022-02-11 22:37:46,71.6872,128.8694,-11.33,92,100,17.09
124,Tessalit,ML,2022-02-11 22:37:46,20.1986,1.0114,65.93,16,17,5.46
125,Bonthe,SL,2022-02-11 22:37:46,7.5264,-12.505,77.29,91,13,6.29
126,Leningradskiy,RU,2022-02-11 22:37:47,69.3833,178.4167,-19.71,96,97,4.36
127,Georgetown,MY,2022-02-11 22:32:58,5.4112,100.3354,76.95,94,20,2.3
128,Blegny,BE,2022-02-11 22:37:47,50.6728,5.724,33.28,94,5,5.08
129,Apollonia,GR,2022-02-11 22:37:47,36.9716,24.7231,51.91,64,1,8.84
130,Fethiye,TR,2022-02-11 22:37:47,36.6217,29.1164,44.47,62,0,4.41
131,Shitanjing,CN,2022-02-11 22:37:48,39.2342,106.3439,19.85,65,100,5.1
132,Tasiilaq,GL,2022-02-11 22:37:48,65.6145,-37.6368,12.36,67,100,3.78
133,Barra Patuca,HN,2022-02-11 22:37:48,15.8,-84.2833,78.31,79,15,7.58
134,Khatanga,RU,2022-02-11 22:37:48,71.9667,102.5,1.06,80,79,14.99
135,Bredasdorp,ZA,2022-02-11 22:37:49,-34.5322,20.0403,69.12,73,17,3.44
136,Altamont,US,2022-02-11 22:37:49,42.2068,-121.7372,63.77,32,0,8.01
137,Mareeba,AU,2022-02-11 22:37:49,-17.0,145.4333,79.66,76,26,3.74
138,Guerrero Negro,MX,2022-02-11 22:37:49,27.9769,-114.0611,74.77,23,0,10.36
139,Innisfail,AU,2022-02-11 22:36:48,-17.5333,146.0333,84.22,69,8,3.49
140,Port Alfred,ZA,2022-02-11 22:38:50,-33.5906,26.891,70.74,86,4,3.62
141,Yovon,TJ,2022-02-11 22:38:50,38.3141,69.0378,47.61,43,100,4.09
142,Saldanha,ZA,2022-02-11 22:38:50,-33.0117,17.9442,64.45,92,15,17.13
143,Bongandanga,CD,2022-02-11 22:38:51,1.5,21.05,78.48,45,79,0.49
144,Priiskovyy,RU,2022-02-11 22:38:51,51.9333,116.6333,-25.8,100,86,1.25
