City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Bethel,US,41.3712,-73.414,28.04,68,100,3.0,overcast clouds
124,Cabinda,AO,-5.55,12.2,78.37,86,100,5.77,overcast clouds
125,Nelson Bay,AU,-32.7167,152.15,82.09,58,49,3.0,scattered clouds
126,Caravelas,BR,-17.7125,-39.2481,75.36,90,90,4.88,overcast clouds
127,Naliya,IN,23.2667,68.8333,63.18,73,0,5.28,clear sky
128,Longyearbyen,SJ,78.2186,15.6401,15.64,92,100,3.44,light snow
129,Namatanai,PG,-3.6667,152.4333,85.57,66,86,6.8,overcast clouds
130,Mangrol,IN,21.1167,70.1167,64.71,73,22,9.69,few clouds
131,Port Hardy,CA,50.6996,-127.4199,50.76,66,100,3.44,overcast clouds
132,Huazhou,CN,21.6333,110.5833,56.53,74,93,7.0,overcast clouds
133,Merauke,ID,-8.4667,140.3333,85.03,65,51,9.35,broken clouds
134,Kathmandu,NP,27.7167,85.3167,43.02,100,20,3.44,mist
135,Panguna,PG,-6.3164,155.4848,80.1,67,99,3.89,light rain
136,Carnarvon,AU,-24.8667,113.6333,80.67,83,6,0.0,clear sky
137,Sitka,US,57.0531,-135.33,40.89,87,100,9.22,overcast clouds
138,Port-Gentil,GA,-0.7193,8.7815,80.65,78,100,9.31,overcast clouds
139,Ketchikan,US,55.3422,-131.6461,48.18,87,100,3.44,light rain
140,Aksarka,RU,66.5606,67.7975,-11.65,99,100,2.19,overcast clouds
141,Oktyabrskiy,RU,54.4815,53.471,2.89,100,100,3.09,overcast clouds
142,Chara,RU,56.9064,118.2631,-21.53,88,21,0.43,few clouds
143,Mogadishu,SO,2.0371,45.3438,76.68,80,100,17.31,overcast clouds
144,Clyde River,CA,70.4692,-68.5914,-18.17,76,100,18.41,overcast clouds
145,Bengkulu,ID,-3.8004,102.2655,78.12,80,100,3.51,overcast clouds
146,Hobart,AU,-42.8794,147.3294,64.26,74,75,9.22,broken clouds
147,Ahipara,NZ,-35.1667,173.1667,70.74,55,25,10.27,scattered clouds
148,Isla Vista,US,34.4133,-119.861,80.35,22,0,6.91,clear sky
149,Port Blair,IN,11.6667,92.75,69.84,88,20,0.0,mist
150,Touros,BR,-5.1989,-35.4608,81.5,75,5,12.8,clear sky
151,Nemuro,JP,43.3236,145.575,21.63,87,100,13.47,overcast clouds
152,Port Elizabeth,ZA,-33.918,25.5701,66.49,94,100,11.5,overcast clouds
153,Saint George,US,37.1041,-113.5841,68.47,16,0,0.0,clear sky
154,Barranca,PE,-10.75,-77.7667,72.07,75,100,7.94,overcast clouds
155,Mahebourg,MU,-20.4081,57.7,81.25,89,40,9.22,scattered clouds
156,Diego De Almagro,CL,-26.3667,-70.05,66.74,37,96,2.73,overcast clouds
157,Zaria,NG,11.1113,7.7227,65.95,16,100,8.12,overcast clouds
158,Majene,ID,-3.5403,118.9707,78.48,78,99,3.56,overcast clouds
159,Dunedin,NZ,-45.8742,170.5036,62.8,59,60,7.0,broken clouds
160,Provideniya,RU,64.3833,-173.3,-3.64,71,0,8.99,clear sky
161,Uray,RU,60.1247,64.7758,-19.91,100,89,3.65,overcast clouds
162,Port Alfred,ZA,-33.5906,26.891,68.95,88,31,8.55,light rain
163,Mecca,SA,21.4267,39.8261,72.21,27,0,5.08,clear sky
164,Maraba,BR,-5.3686,-49.1178,71.02,97,99,1.3,overcast clouds
165,Aksu,CN,41.1231,80.2644,26.69,42,96,4.23,overcast clouds
166,Eyl,SO,7.9803,49.8164,72.36,71,33,13.27,scattered clouds
167,Ihosy,MG,-22.4,46.1167,67.95,84,88,6.67,overcast clouds
168,Goderich,CA,43.7501,-81.7165,14.92,85,100,9.22,overcast clouds
169,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,75,4.61,broken clouds
170,Turukhansk,RU,65.8167,87.9833,-6.93,89,45,11.65,scattered clouds
171,Cabo San Lucas,MX,22.8909,-109.9124,77.61,55,100,6.46,overcast clouds
172,Gamba,GA,-2.65,10.0,77.16,86,73,3.56,broken clouds
173,Acapulco,MX,16.8634,-99.8901,82.22,69,75,8.05,broken clouds
174,Zunyi,CN,27.6867,106.9072,38.32,84,6,1.68,clear sky
175,Hofn,IS,64.2539,-15.2082,22.46,66,28,9.42,scattered clouds
176,Vostok,RU,46.4856,135.8833,9.86,89,100,3.29,overcast clouds
177,Shikhany,RU,52.1167,47.2167,10.65,98,57,5.12,broken clouds
178,Ostersund,SE,63.1792,14.6357,28.62,93,40,9.22,scattered clouds
179,Lorengau,PG,-2.0226,147.2712,84.02,72,100,2.55,overcast clouds
180,Kainantu,PG,-6.2887,145.8655,70.92,77,80,3.53,broken clouds
181,Saint-Georges,GD,12.0564,-61.7485,78.48,73,40,8.05,scattered clouds
182,East London,ZA,-33.0153,27.9116,71.8,81,31,10.09,scattered clouds
183,Umm Lajj,SA,25.0213,37.2685,66.13,34,0,11.63,clear sky
184,Kupang,ID,-10.1667,123.5833,82.51,70,4,3.53,clear sky
185,Hami,CN,42.8,93.45,24.06,45,11,5.86,few clouds
186,Union,US,40.6334,-74.2663,31.06,75,100,5.01,overcast clouds
187,Kloulklubed,PW,7.0419,134.2556,79.3,81,96,21.34,overcast clouds
188,Mugur-Aksy,RU,50.35,90.5,-12.05,84,23,5.73,few clouds
189,Valandovo,MK,41.3169,22.5611,44.73,88,60,2.59,broken clouds
190,Chunskiy,RU,56.0815,99.6342,-27.44,100,17,2.93,few clouds
191,Atar,MR,20.5169,-13.0499,66.04,20,96,7.63,overcast clouds
192,Richards Bay,ZA,-28.783,32.0377,77.07,88,100,9.06,light rain
193,Yerbogachen,RU,61.2767,108.0108,-31.45,100,87,3.44,overcast clouds
194,Alta Floresta,BR,-9.8756,-56.0861,71.01,96,93,2.44,overcast clouds
195,Manzanares,ES,38.9991,-3.3699,49.55,89,87,12.77,overcast clouds
196,Vallenar,CL,-28.5708,-70.7581,68.52,54,0,2.19,clear sky
197,Pimentel,PE,-6.8367,-79.9342,72.84,77,100,10.76,overcast clouds
198,Dharchula,IN,29.85,80.5333,44.22,35,0,8.55,clear sky
199,Piacabucu,BR,-10.4056,-36.4344,81.01,74,100,13.51,overcast clouds
200,Marystown,CA,47.1666,-55.1483,33.85,100,100,9.13,overcast clouds
201,Manono,CD,-7.3,27.4167,68.13,97,100,0.6,light rain
202,Chanika,TZ,-5.4167,38.0167,68.5,93,100,1.88,overcast clouds
203,Cherskiy,RU,68.75,161.3,-22.76,97,95,6.67,overcast clouds
204,Ambilobe,MG,-13.2,49.05,71.82,94,14,1.43,few clouds
205,Saint-Avertin,FR,47.3636,0.7399,51.98,81,100,17.27,overcast clouds
